,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
10,2,-1,3,-1,4,-1,3,-1,4,-1,4,-1,3,-1,2,-1,1,-1,3,-1,2,-1,2,-1,3,-1,1,-1,4,-1,2,-1,1,-1.0,4.0,-1.0,2.0,-1.0,1.0,-1.0,3.0,-1.0,2.0,-1.0,
11,1,-1,2,-1,1,-1,4,-1,2,-1,4,-1,1,-1,3,-1,3,-1,4,-1,4,-1,4,-1,4,-1,3,-1,4,-1,2,-1,-2,,,,,,,,,,,,
12,2,-1,3,-1,3,-1,3,-1,4,-1,3,-1,4,-1,3,-1,1,-1,2,-1,2,-1,3,-1,1,-1,1,-1,1,-1,3,-1,3,-1.0,4.0,-1.0,1.0,-1.0,1.0,-1.0,3.0,-1.0,1.0,-1.0,
13,4,-1,3,-1,3,-1,1,-1,3,-1,1,-1,3,-1,2,-1,2,-1,4,-1,4,-1,3,-1,4,-1,2,-1,2,-1,2,-1,4,-1.0,3.0,-1.0,3.0,-1.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,
14,2,-1,1,-1,1,-1,2,-1,3,-1,1,-1,3,-1,1,-1,1,-1,1,-1,1,-1,2,-1,1,-1,2,-1,1,-1,2,-1,-2,,,,,,,,,,,,
15,3,-1,4,-1,2,-1,2,-1,1,-1,1,-1,2,-1,4,-1,2,-1,1,-1,3,-1,4,-1,4,-1,4,-1,3,-1,2,-1,2,-1.0,4.0,-1.0,3.0,-1.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,
16,4,-1,1,-1,2,-1,1,-1,3,-1,3,-1,4,-1,4,-1,2,-1,3,-1,2,-1,3,-1,1,-1,2,-1,3,-1,4,-1,3,-1.0,2.0,-1.0,4.0,-1.0,2.0,-1.0,3.0,-1.0,4.0,-1.0,
17,1,-1,2,-1,3,-1,4,-1,3,-1,3,-1,2,-1,4,-1,4,-1,4,-1,3,-1,3,-1,1,-1,3,-1,1,-1,2,-1,-2,,,,,,,,,,,,
18,4,-1,2,-1,2,-1,3,-1,4,-1,3,-1,3,-1,1,-1,3,-1,3,-1,1,-1,3,-1,3,-1,4,-1,2,-1,4,-1,4,-1.0,1.0,-1.0,4.0,-1.0,2.0,-1.0,1.0,-1.0,3.0,-1.0,
19,1,-1,3,-1,3,-1,2,-1,1,-1,2,-1,3,-1,4,-1,2,-1,1,-1,1,-1,2,-1,1,-1,4,-1,2,-1,4,-1,4,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,3.0,-1.0,1.0,-1.0,
20,4,-1,3,-1,3,-1,2,-1,1,-1,2,-1,4,-1,4,-1,3,-1,4,-1,3,-1,3,-1,2,-1,4,-1,4,-1,1,-1,-2,,,,,,,,,,,,
21,3,-1,4,-1,1,-1,3,-1,1,-1,1,-1,3,-1,4,-1,4,-1,3,-1,1,-1,1,-1,1,-1,1,-1,1,-1,3,-1,3,-1.0,2.0,-1.0,3.0,-1.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,
22,4,-1,3,-1,2,-1,2,-1,4,-1,2,-1,1,-1,1,-1,2,-1,4,-1,4,-1,3,-1,1,-1,1,-1,2,-1,1,-1,3,-1.0,2.0,-1.0,2.0,-1.0,2.0,-1.0,4.0,-1.0,1.0,-1.0,
23,4,-1,3,-1,4,-1,3,-1,4,-1,4,-1,2,-1,1,-1,4,-1,2,-1,1,-1,1,-1,1,-1,2,-1,3,-1,4,-1,-2,,,,,,,,,,,,
24,4,-1,2,-1,3,-1,3,-1,1,-1,4,-1,3,-1,2,-1,4,-1,2,-1,3,-1,1,-1,1,-1,2,-1,4,-1,3,-1,2,-1.0,1.0,-1.0,2.0,-1.0,2.0,-1.0,4.0,-1.0,2.0,-1.0,
25,1,-1,4,-1,3,-1,3,-1,4,-1,2,-1,1,-1,4,-1,3,-1,4,-1,4,-1,1,-1,4,-1,3,-1,3,-1,4,-1,4,-1.0,3.0,-1.0,1.0,-1.0,3.0,-1.0,2.0,-1.0,4.0,-1.0,
26,3,-1,3,-1,4,-1,1,-1,3,-1,2,-1,1,-1,3,-1,1,-1,1,-1,2,-1,4,-1,2,-1,3,-1,1,-1,1,-1,-2,,,,,,,,,,,,
27,3,-1,3,-1,2,-1,1,-1,4,-1,4,-1,2,-1,1,-1,3,-1,4,-1,1,-1,2,-1,3,-1,3,-1,4,-1,2,-1,3,-1.0,4.0,-1.0,1.0,-1.0,3.0,-1.0,4.0,-1.0,3.0,-1.0,
28,3,-1,4,-1,3,-1,1,-1,3,-1,1,-1,2,-1,1,-1,2,-1,4,-1,4,-1,3,-1,3,-1,4,-1,3,-1,4,-1,2,-1.0,2.0,-1.0,4.0,-1.0,4.0,-1.0,3.0,-1.0,4.0,-1.0,
29,2,-1,2,-1,2,-1,4,-1,2,-1,1,-1,4,-1,3,-1,4,-1,3,-1,3,-1,3,-1,2,-1,3,-1,1,-1,1,-1,-2,,,,,,,,,,,,
30,1,-1,4,-1,1,-1,2,-1,2,-1,1,-1,3,-1,4,-1,3,-1,3,-1,2,-1,4,-1,4,-1,1,-1,2,-1,2,-1,3,-1.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,3.0,-1.0,3.0,-1.0,
31,4,-1,4,-1,2,-1,4,-1,4,-1,2,-1,4,-1,4,-1,2,-1,3,-1,4,-1,1,-1,1,-1,3,-1,1,-1,1,-1,2,-1.0,3.0,-1.0,3.0,-1.0,4.0,-1.0,1.0,-1.0,1.0,-1.0,
32,4,-1,1,-1,1,-1,1,-1,3,-1,3,-1,1,-1,3,-1,2,-1,4,-1,3,-1,3,-1,4,-1,3,-1,3,-1,2,-1,-2,,,,,,,,,,,,
33,2,-1,1,-1,4,-1,1,-1,3,-1,4,-1,4,-1,1,-1,2,-1,3,-1,3,-1,2,-1,3,-1,2,-1,2,-1,3,-1,1,-1.0,4.0,-1.0,2.0,-1.0,4.0,-1.0,1.0,-1.0,1.0,-1.0,
34,1,-1,3,-1,4,-1,2,-1,1,-1,4,-1,4,-1,4,-1,3,-1,1,-1,2,-1,4,-1,4,-1,1,-1,3,-1,3,-1,2,-1.0,3.0,-1.0,1.0,-1.0,2.0,-1.0,3.0,-1.0,1.0,-1.0,
35,3,-1,2,-1,4,-1,4,-1,3,-1,3,-1,2,-1,1,-1,2,-1,4,-1,3,-1,1,-1,4,-1,2,-1,2,-1,4,-1,-2,,,,,,,,,,,,
36,4,-1,1,-1,4,-1,3,-1,1,-1,1,-1,3,-1,1,-1,4,-1,4,-1,4,-1,4,-1,2,-1,1,-1,1,-1,3,-1,1,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,2.0,-1.0,4.0,-1.0,
37,3,-1,3,-1,1,-1,1,-1,2,-1,1,-1,2,-1,4,-1,1,-1,1,-1,1,-1,2,-1,1,-1,4,-1,1,-1,3,-1,2,-1.0,1.0,-1.0,3.0,-1.0,4.0,-1.0,3.0,-1.0,3.0,-1.0,
38,4,-1,3,-1,4,-1,4,-1,1,-1,2,-1,2,-1,2,-1,3,-1,4,-1,3,-1,1,-1,1,-1,2,-1,4,-1,2,-1,-2,,,,,,,,,,,,
39,1,-1,4,-1,3,-1,2,-1,3,-1,4,-1,3,-1,1,-1,3,-1,2,-1,4,-1,4,-1,1,-1,1,-1,2,-1,3,-1,3,-1.0,1.0,-1.0,3.0,-1.0,3.0,-1.0,3.0,-1.0,3.0,-1.0,
40,2,-1,1,-1,4,-1,1,-1,2,-1,1,-1,2,-1,4,-1,2,-1,3,-1,2,-1,4,-1,1,-1,4,-1,3,-1,4,-1,2,-1.0,3.0,-1.0,1.0,-1.0,4.0,-1.0,1.0,-1.0,1.0,-1.0,
41,2,-1,1,-1,1,-1,2,-1,4,-1,4,-1,2,-1,4,-1,3,-1,4,-1,3,-1,3,-1,2,-1,2,-1,2,-1,4,-1,-2,,,,,,,,,,,,
42,3,-1,1,-1,4,-1,3,-1,3,-1,2,-1,4,-1,1,-1,2,-1,2,-1,2,-1,4,-1,2,-1,4,-1,4,-1,3,-1,1,-1.0,3.0,-1.0,4.0,-1.0,3.0,-1.0,2.0,-1.0,1.0,-1.0,
43,4,-1,4,-1,1,-1,1,-1,1,-1,3,-1,1,-1,2,-1,2,-1,4,-1,4,-1,2,-1,4,-1,1,-1,3,-1,2,-1,1,-1.0,2.0,-1.0,3.0,-1.0,4.0,-1.0,3.0,-1.0,2.0,-1.0,
44,4,-1,3,-1,3,-1,4,-1,1,-1,1,-1,1,-1,3,-1,2,-1,4,-1,4,-1,2,-1,1,-1,4,-1,3,-1,2,-1,-2,,,,,,,,,,,,
45,1,-1,2,-1,4,-1,4,-1,4,-1,3,-1,4,-1,2,-1,2,-1,3,-1,1,-1,1,-1,2,-1,1,-1,1,-1,2,-1,4,-1.0,3.0,-1.0,3.0,-1.0,1.0,-1.0,2.0,-1.0,4.0,-1.0,
46,4,-1,4,-1,1,-1,4,-1,4,-1,3,-1,1,-1,2,-1,1,-1,2,-1,4,-1,1,-1,1,-1,3,-1,1,-1,3,-1,3,-1.0,3.0,-1.0,3.0,-1.0,4.0,-1.0,3.0,-1.0,4.0,-1.0,
47,1,-1,4,-1,1,-1,2,-1,4,-1,3,-1,2,-1,4,-1,3,-1,2,-1,2,-1,3,-1,4,-1,3,-1,1,-1,1,-1,-2,,,,,,,,,,,,
48,2,-1,1,-1,4,-1,3,-1,1,-1,3,-1,2,-1,1,-1,4,-1,3,-1,1,-1,1,-1,1,-1,4,-1,4,-1,3,-1,2,-1.0,4.0,-1.0,4.0,-1.0,3.0,-1.0,3.0,-1.0,4.0,-1.0,
49,1,-1,2,-1,1,-1,2,-1,3,-1,3,-1,1,-1,1,-1,2,-1,3,-1,4,-1,4,-1,2,-1,4,-1,3,-1,1,-1,1,-1.0,1.0,-1.0,1.0,-1.0,3.0,-1.0,1.0,-1.0,3.0,-1.0,
50,2,-1,4,-1,1,-1,4,-1,3,-1,1,-1,1,-1,4,-1,4,-1,3,-1,2,-1,1,-1,3,-1,1,-1,2,-1,1,-1,-2,,,,,,,,,,,,
51,2,-1,2,-1,4,-1,4,-1,4,-1,4,-1,3,-1,1,-1,1,-1,1,-1,4,-1,4,-1,1,-1,1,-1,1,-1,4,-1,4,-1.0,3.0,-1.0,3.0,-1.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,
52,1,-1,3,-1,1,-1,1,-1,1,-1,4,-1,4,-1,4,-1,3,-1,1,-1,2,-1,1,-1,2,-1,2,-1,4,-1,4,-1,2,-1.0,1.0,-1.0,1.0,-1.0,4.0,-1.0,3.0,-1.0,3.0,-1.0,
53,3,-1,3,-1,1,-1,1,-1,4,-1,3,-1,4,-1,2,-1,2,-1,1,-1,1,-1,1,-1,4,-1,4,-1,4,-1,4,-1,-2,,,,,,,,,,,,
54,3,-1,4,-1,1,-1,4,-1,4,-1,4,-1,2,-1,2,-1,2,-1,4,-1,4,-1,1,-1,1,-1,1,-1,4,-1,4,-1,2,-1.0,2.0,-1.0,1.0,-1.0,4.0,-1.0,1.0,-1.0,1.0,-1.0,
55,4,-1,2,-1,1,-1,1,-1,3,-1,1,-1,2,-1,4,-1,1,-1,4,-1,4,-1,2,-1,1,-1,1,-1,2,-1,2,-1,1,-1.0,1.0,-1.0,3.0,-1.0,3.0,-1.0,3.0,-1.0,4.0,-1.0,
56,4,-1,3,-1,1,-1,1,-1,1,-1,1,-1,3,-1,1,-1,1,-1,1,-1,1,-1,1,-1,3,-1,2,-1,4,-1,4,-1,-2,,,,,,,,,,,,
57,3,-1,1,-1,4,-1,3,-1,3,-1,2,-1,4,-1,4,-1,4,-1,1,-1,4,-1,3,-1,3,-1,3,-1,4,-1,1,-1,3,-1.0,1.0,-1.0,1.0,-1.0,4.0,-1.0,4.0,-1.0,2.0,-1.0,
58,3,-1,1,-1,4,-1,2,-1,4,-1,3,-1,4,-1,2,-1,4,-1,1,-1,4,-1,2,-1,2,-1,1,-1,3,-1,4,-1,4,-1.0,3.0,-1.0,2.0,-1.0,3.0,-1.0,4.0,-1.0,2.0,-1.0,
59,1,-1,2,-1,2,-1,1,-1,1,-1,1,-1,4,-1,3,-1,1,-1,1,-1,4,-1,3,-1,2,-1,1,-1,1,-1,2,-1,-2,,,,,,,,,,,,
60,2,-1,1,-1,1,-1,1,-1,4,-1,3,-1,4,-1,3,-1,2,-1,2,-1,4,-1,4,-1,4,-1,2,-1,1,-1,1,-1,2,-1.0,4.0,-1.0,2.0,-1.0,4.0,-1.0,2.0,-1.0,1.0,-1.0,
61,4,-1,3,-1,1,-1,1,-1,3,-1,4,-1,3,-1,4,-1,3,-1,1,-1,4,-1,2,-1,1,-1,4,-1,4,-1,3,-1,4,-1.0,3.0,-1.0,3.0,-1.0,4.0,-1.0,3.0,-1.0,1.0,-1.0,
62,1,-1,1,-1,2,-1,4,-1,4,-1,2,-1,1,-1,4,-1,3,-1,3,-1,2,-1,1,-1,3,-1,1,-1,2,-1,3,-1,-2,,,,,,,,,,,,
63,3,-1,3,-1,2,-1,3,-1,1,-1,4,-1,4,-1,4,-1,4,-1,3,-1,4,-1,4,-1,1,-1,1,-1,1,-1,3,-1,2,-1.0,2.0,-1.0,1.0,-1.0,2.0,-1.0,4.0,-1.0,4.0,-1.0,
64,3,-1,2,-1,3,-1,1,-1,1,-1,4,-1,4,-1,4,-1,4,-1,3,-1,4,-1,3,-1,3,-1,2,-1,1,-1,2,-1,4,-1.0,3.0,-1.0,1.0,-1.0,3.0,-1.0,1.0,-1.0,1.0,-1.0,
65,4,-1,4,-1,4,-1,3,-1,1,-1,2,-1,4,-1,1,-1,1,-1,1,-1,3,-1,1,-1,1,-1,3,-1,3,-1,4,-1,-2,,,,,,,,,,,,
66,3,-1,2,-1,2,-1,1,-1,2,-1,4,-1,1,-1,2,-1,4,-1,4,-1,3,-1,4,-1,3,-1,3,-1,4,-1,4,-1,1,-1.0,2.0,-1.0,4.0,-1.0,4.0,-1.0,1.0,-1.0,2.0,-1.0,
67,2,-1,2,-1,2,-1,1,-1,1,-1,1,-1,1,-1,4,-1,3,-1,2,-1,4,-1,3,-1,4,-1,4,-1,3,-1,4,-1,4,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,4.0,-1.0,
68,4,-1,4,-1,1,-1,4,-1,4,-1,3,-1,4,-1,2,-1,2,-1,1,-1,3,-1,2,-1,1,-1,4,-1,3,-1,4,-1,-2,,,,,,,,,,,,
69,2,-1,1,-1,2,-1,1,-1,1,-1,4,-1,4,-1,2,-1,1,-1,3,-1,1,-1,1,-1,3,-1,4,-1,1,-1,3,-1,3,-1.0,1.0,-1.0,2.0,-1.0,2.0,-1.0,4.0,-1.0,3.0,-1.0,
70,1,-1,3,-1,2,-1,1,-1,4,-1,1,-1,3,-1,4,-1,2,-1,4,-1,4,-1,3,-1,2,-1,2,-1,3,-1,1,-1,1,-1.0,4.0,-1.0,1.0,-1.0,2.0,-1.0,2.0,-1.0,1.0,-1.0,
71,4,-1,1,-1,1,-1,4,-1,3,-1,1,-1,1,-1,4,-1,2,-1,4,-1,3,-1,3,-1,2,-1,4,-1,4,-1,3,-1,-2,,,,,,,,,,,,
72,1,-1,1,-1,1,-1,1,-1,2,-1,2,-1,1,-1,4,-1,4,-1,2,-1,4,-1,4,-1,2,-1,3,-1,4,-1,1,-1,1,-1.0,3.0,-1.0,3.0,-1.0,3.0,-1.0,4.0,-1.0,3.0,-1.0,
73,3,-1,4,-1,2,-1,3,-1,2,-1,1,-1,2,-1,4,-1,1,-1,4,-1,4,-1,3,-1,2,-1,2,-1,4,-1,4,-1,4,-1.0,3.0,-1.0,3.0,-1.0,1.0,-1.0,3.0,-1.0,3.0,-1.0,
74,2,-1,4,-1,3,-1,4,-1,3,-1,4,-1,3,-1,4,-1,4,-1,2,-1,4,-1,2,-1,4,-1,4,-1,1,-1,4,-1,-2,,,,,,,,,,,,
75,3,-1,4,-1,4,-1,3,-1,3,-1,4,-1,4,-1,3,-1,2,-1,2,-1,1,-1,4,-1,1,-1,1,-1,2,-1,1,-1,1,-1.0,3.0,-1.0,4.0,-1.0,3.0,-1.0,4.0,-1.0,3.0,-1.0,
76,2,-1,2,-1,4,-1,1,-1,4,-1,4,-1,3,-1,3,-1,3,-1,4,-1,4,-1,2,-1,2,-1,1,-1,2,-1,3,-1,4,-1.0,3.0,-1.0,2.0,-1.0,4.0,-1.0,1.0,-1.0,3.0,-1.0,
77,2,-1,3,-1,2,-1,4,-1,1,-1,1,-1,2,-1,1,-1,4,-1,1,-1,3,-1,3,-1,4,-1,4,-1,3,-1,4,-1,-2,,,,,,,,,,,,
78,1,-1,1,-1,2,-1,2,-1,1,-1,4,-1,1,-1,2,-1,1,-1,3,-1,3,-1,4,-1,3,-1,4,-1,4,-1,3,-1,4,-1.0,4.0,-1.0,3.0,-1.0,3.0,-1.0,1.0,-1.0,3.0,-1.0,
79,1,-1,1,-1,3,-1,3,-1,4,-1,4,-1,2,-1,2,-1,3,-1,1,-1,1,-1,3,-1,3,-1,4,-1,2,-1,4,-1,4,-1.0,1.0,-1.0,1.0,-1.0,4.0,-1.0,3.0,-1.0,1.0,-1.0,
80,2,-1,1,-1,1,-1,2,-1,2,-1,4,-1,4,-1,2,-1,4,-1,4,-1,3,-1,1,-1,1,-1,1,-1,4,-1,1,-1,-2,,,,,,,,,,,,
81,2,-1,4,-1,2,-1,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,3,-1,1,-1,3,-1,1,-1,1,-1,1,-1,3,-1,4,-1.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,2.0,-1.0,1.0,-1.0,
82,4,-1,2,-1,1,-1,1,-1,4,-1,1,-1,4,-1,4,-1,3,-1,4,-1,4,-1,3,-1,3,-1,4,-1,3,-1,1,-1,2,-1.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,1.0,-1.0,1.0,-1.0,
83,1,-1,2,-1,4,-1,4,-1,1,-1,1,-1,4,-1,3,-1,1,-1,1,-1,3,-1,1,-1,3,-1,1,-1,4,-1,2,-1,-2,,,,,,,,,,,,
84,3,-1,2,-1,2,-1,1,-1,4,-1,4,-1,1,-1,4,-1,4,-1,4,-1,4,-1,3,-1,3,-1,2,-1,1,-1,4,-1,2,-1.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,
85,2,-1,4,-1,3,-1,2,-1,4,-1,4,-1,2,-1,2,-1,1,-1,2,-1,1,-1,1,-1,3,-1,4,-1,3,-1,2,-1,4,-1.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,3.0,-1.0,4.0,-1.0,
86,3,-1,3,-1,1,-1,1,-1,1,-1,2,-1,4,-1,3,-1,4,-1,3,-1,1,-1,1,-1,1,-1,3,-1,3,-1,4,-1,-2,,,,,,,,,,,,
87,4,-1,4,-1,3,-1,3,-1,1,-1,4,-1,4,-1,1,-1,4,-1,1,-1,1,-1,1,-1,3,-1,2,-1,1,-1,4,-1,4,-1.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,2.0,-1.0,
88,1,-1,1,-1,1,-1,4,-1,4,-1,3,-1,4,-1,4,-1,3,-1,1,-1,1,-1,4,-1,2,-1,2,-1,4,-1,3,-1,4,-1.0,3.0,-1.0,3.0,-1.0,4.0,-1.0,1.0,-1.0,1.0,-1.0,
89,4,-1,4,-1,4,-1,4,-1,1,-1,1,-1,1,-1,3,-1,4,-1,4,-1,1,-1,2,-1,1,-1,1,-1,1,-1,1,-1,-2,,,,,,,,,,,,
90,3,-1,3,-1,1,-1,1,-1,1,-1,1,-1,3,-1,2,-1,4,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,3,-1,3,-1.0,4.0,-1.0,3.0,-1.0,2.0,-1.0,2.0,-1.0,4.0,-1.0,
91,3,-1,3,-1,1,-1,1,-1,4,-1,1,-1,4,-1,4,-1,3,-1,3,-1,4,-1,3,-1,1,-1,1,-1,2,-1,1,-1,3,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,4.0,-1.0,2.0,-1.0,
92,1,-1,1,-1,4,-1,1,-1,2,-1,4,-1,3,-1,1,-1,3,-1,4,-1,2,-1,2,-1,4,-1,2,-1,4,-1,4,-1,-2,,,,,,,,,,,,
93,4,-1,1,-1,4,-1,3,-1,2,-1,1,-1,4,-1,4,-1,4,-1,3,-1,2,-1,1,-1,4,-1,2,-1,1,-1,3,-1,1,-1.0,3.0,-1.0,3.0,-1.0,2.0,-1.0,4.0,-1.0,3.0,-1.0,
94,2,-1,4,-1,2,-1,3,-1,4,-1,3,-1,4,-1,4,-1,3,-1,4,-1,1,-1,2,-1,3,-1,1,-1,4,-1,2,-1,1,-1.0,1.0,-1.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,
95,2,-1,4,-1,2,-1,2,-1,2,-1,3,-1,2,-1,1,-1,2,-1,4,-1,2,-1,4,-1,4,-1,3,-1,1,-1,1,-1,-2,,,,,,,,,,,,
96,1,-1,2,-1,4,-1,3,-1,2,-1,4,-1,2,-1,1,-1,1,-1,1,-1,1,-1,4,-1,4,-1,2,-1,4,-1,3,-1,4,-1.0,3.0,-1.0,2.0,-1.0,3.0,-1.0,4.0,-1.0,3.0,-1.0,
97,4,-1,4,-1,4,-1,4,-1,1,-1,2,-1,1,-1,3,-1,1,-1,1,-1,3,-1,3,-1,2,-1,2,-1,3,-1,2,-1,4,-1.0,1.0,-1.0,4.0,-1.0,1.0,-1.0,1.0,-1.0,2.0,-1.0,
98,1,-1,1,-1,4,-1,1,-1,2,-1,4,-1,1,-1,3,-1,1,-1,4,-1,3,-1,3,-1,1,-1,1,-1,4,-1,4,-1,-2,,,,,,,,,,,,
99,4,-1,2,-1,1,-1,2,-1,1,-1,3,-1,4,-1,1,-1,4,-1,4,-1,2,-1,1,-1,2,-1,4,-1,3,-1,1,-1,3,-1.0,1.0,-1.0,2.0,-1.0,4.0,-1.0,2.0,-1.0,1.0,-1.0,
100,4,-1,4,-1,3,-1,1,-1,4,-1,3,-1,2,-1,4,-1,1,-1,4,-1,3,-1,1,-1,4,-1,3,-1,4,-1,4,-1,2,-1.0,1.0,-1.0,2.0,-1.0,1.0,-1.0,4.0,-1.0,2.0,-1.0,
101,4,-1,3,-1,1,-1,4,-1,4,-1,4,-1,3,-1,3,-1,2,-1,4,-1,1,-1,2,-1,4,-1,1,-1,1,-1,2,-1,-2,,,,,,,,,,,,
102,1,-1,1,-1,4,-1,2,-1,4,-1,1,-1,3,-1,4,-1,4,-1,3,-1,4,-1,1,-1,1,-1,4,-1,3,-1,3,-1,2,-1.0,2.0,-1.0,4.0,-1.0,1.0,-1.0,2.0,-1.0,1.0,-1.0,
103,4,-1,4,-1,1,-1,2,-1,1,-1,3,-1,3,-1,4,-1,3,-1,3,-1,4,-1,3,-1,4,-1,4,-1,3,-1,4,-1,4,-1.0,2.0,-1.0,1.0,-1.0,3.0,-1.0,4.0,-1.0,4.0,-1.0,
104,3,-1,1,-1,2,-1,4,-1,4,-1,2,-1,3,-1,2,-1,1,-1,3,-1,4,-1,3,-1,3,-1,2,-1,4,-1,1,-1,-2,,,,,,,,,,,,
105,1,-1,2,-1,4,-1,1,-1,1,-1,2,-1,1,-1,4,-1,2,-1,4,-1,4,-1,4,-1,3,-1,3,-1,2,-1,1,-1,2,-1.0,4.0,-1.0,3.0,-1.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,
106,1,-1,4,-1,3,-1,1,-1,1,-1,1,-1,1,-1,1,-1,2,-1,4,-1,2,-1,1,-1,1,-1,1,-1,2,-1,2,-1,2,-1.0,3.0,-1.0,4.0,-1.0,2.0,-1.0,2.0,-1.0,4.0,-1.0,
107,4,-1,3,-1,1,-1,4,-1,4,-1,3,-1,3,-1,2,-1,4,-1,4,-1,3,-1,1,-1,1,-1,3,-1,1,-1,3,-1,-2,,,,,,,,,,,,
108,1,-1,1,-1,3,-1,4,-1,4,-1,4,-1,1,-1,1,-1,3,-1,3,-1,1,-1,1,-1,3,-1,3,-1,4,-1,3,-1,4,-1.0,1.0,-1.0,3.0,-1.0,1.0,-1.0,3.0,-1.0,4.0,-1.0,
109,4,-1,4,-1,2,-1,4,-1,4,-1,1,-1,3,-1,1,-1,3,-1,1,-1,2,-1,3,-1,3,-1,4,-1,4,-1,3,-1,3,-1.0,3.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,4.0,-1.0,
110,4,-1,3,-1,4,-1,4,-1,1,-1,1,-1,1,-1,4,-1,4,-1,4,-1,1,-1,4,-1,2,-1,4,-1,2,-1,1,-1,-2,,,,,,,,,,,,
111,1,-1,2,-1,2,-1,4,-1,3,-1,4,-1,3,-1,2,-1,4,-1,4,-1,3,-1,4,-1,3,-1,1,-1,1,-1,1,-1,4,-1.0,4.0,-1.0,3.0,-1.0,4.0,-1.0,2.0,-1.0,3.0,-1.0,
